Día/mes/año,TemperaturaMax (°c),TemperaturaMin (°c),Temperatura BulboSeco (°c),Temperatura BulboHumedo (°c),Precipitacion (mm),DirecciondelViento 13h,VelocidaddelViento 13h (m/s)
07,13,19,07,13,19,07,19
06-Sep-1972,35,19,21,35,29,,,,,,N,2
07-Sep-1972,36,19,20,35,30,,,,,,N,1
08-Sep-1972,37,18,24,36,30,,,,,,N,3
09-Sep-1972,37,20,23,36,29,,,,,,N,4
10-Sep-1972,36,22,25,36,30,,,,,,N,4
11-Sep-1972,37,21,24,36,30,,,,,,N,3
12-Sep-1972,33,23,24,33,25,,,,,,N,4
13-Sep-1972,37,21,23,35,29,,,,,,N,3
14-Sep-1972,34,23,24,33,24,,,,,,N,1
15-Sep-1972,36,18,24,34,30,,,,,,N,4
16-Sep-1972,33,25,25,32,29,,,,,,N,1
17-Sep-1972,32,23,24,27,28,,,,,,N,3
18-Sep-1972,33,24,24,32,25,,,,,,N,2
19-Sep-1972,30,23,23,29,28,,,,,,N,1
20-Sep-1972,34,23,23,32,28,,,,,,N,8
21-Sep-1972,27,21,23,22,21,,,,,,S,6
22-Sep-1972,29,20,22,28,25,,,,,,S,3
23-Sep-1972,34,19,26,33,28,,,,,,N,2
24-Sep-1972,36,20,23,35,28,,,,,,N,2
25-Sep-1972,36,20,22,35,30,,,,,,N,3
26-Sep-1972,34,22,24,34,28,,,,,,N,3
27-Sep-1972,34,21,22,34,27,,,,,,N,4
28-Sep-1972,33,22,23,33,27,,,,,,N,1
29-Sep-1972,26,21,22,25,24,,,,,,N,3
30-Sep-1972,35,22,22,33,29,,,,,,N,1
Día/mes/año,TemperaturaMax (°c),TemperaturaMin (°c),Temperatura BulboSeco (°c),Temperatura BulboHumedo (°c),Precipitacion (mm),DirecciondelViento 13h,VelocidaddelViento 13h (m/s)
07,13,19,07,13,19,07,19
01-Oct-1972,36,23,25,35,30,,,,,,N,4
02-Oct-1972,37,23,25,35,30,,,,,,N,3
03-Oct-1972,37,23,25,37,32,,,,,,N,5
04-Oct-1972,34,18,25,28,20,,,,,,N,3
05-Oct-1972,19,15,16,16,18,,,,,,N,1
06-Oct-1972,32,17,17,29,28,,,,,,N,3
07-Oct-1972,34,20,21,32,31,,,,,,N,1
08-Oct-1972,35,21,24,34,29,,,,,,N,3
09-Oct-1972,35,22,24,34,29,,,,,,N,4
10-Oct-1972,36,22,23,35,24,,,,,,N,4
11-Oct-1972,34,22,22,32,26,,,,,,N,1
12-Oct-1972,34,22,22,33,28,,,,,,N,3
13-Oct-1972,32,24,24,30,29,,,,,,N,5
14-Oct-1972,35,23,23,32,31,,,,,,N,1
15-Oct-1972,35,23,24,34,32,,,,,,N,1
16-Oct-1972,28,23,24,26,27,,,,,,N,3
17-Oct-1972,34,22,22,32,33,,,,,,N,1
18-Oct-1972,36,22,22,34,34,,,,,,N,3
19-Oct-1972,37,22,22,35,35,,,,,,N,1
20-Oct-1972,34,24,24,33,26,,,,,,N,3
21-Oct-1972,35,22,23,33,25,,,,,,N,3
